Issue Type,Summary,Issue ID,Epic Name,Epic Link,Story Points,Sprint,Depends On,Assignee Role,Description,Acceptance Criteria
Story,"E7-3 Viti Dandu throw-out emphasis logic",E7-3,,E7,3,"Sprint 5","E2-4|E3-1",Gameplay Engineer,"Variant increasing fielder throw-out impact.","Throw-out frequency hits tuning target"
Story,"E7-4 Variant selection UX and matchmaking flags",E7-4,,E7,3,"Sprint 5","E7-1|E7-3",UI/UX + Network,"Variant selection integrated in menus and online flags.","Selected variant persists and syncs in sessions"
Story,"E8-1 Local split-screen architecture up to 4",E8-1,,E8,8,"Sprint 5",E6-1,Tech Lead,"Render/input architecture for couch multiplayer.","4-player local match stable at target FPS"
Story,"E8-2 Online session setup lobby relay",E8-2,,E8,8,"Sprint 5",E8-1,Network Engineer,"Create online rooms and join/start flows.","Players can host/join/start without manual recovery"
Story,"E8-3 Server-authoritative turn resolution",E8-3,,E8,8,"Sprint 6","E2-7|E8-2",Network Engineer,"Authoritative rules scoring and outcomes server-side.","Client tampering cannot alter official results"
Story,"E8-4 Ranked queue MMR anti-tamper",E8-4,,E8,8,"Sprint 6",E8-3,Network Engineer,"Ranked progression and queue matching.","MMR updates and anti-abuse checks verified"
Story,"E8-5 Reconnect and desync replay recovery",E8-5,,E8,5,"Sprint 6",E8-3,Network Engineer,"Recover sessions and reconcile state after disconnects.","Reconnect succeeds within timeout budget"
Story,"E9-1 Color-blind and high-contrast profiles",E9-1,,E9,3,"Sprint 6",E4-1,UI/UX,"Accessibility visual modes for gameplay readability.","All critical HUD elements pass contrast checks"
Story,"E9-2 Auto-measure and swing assist toggles",E9-2,,E9,3,"Sprint 6",E2-5,Gameplay Engineer,"Assistive options for less precise input.","Assist modes selectable and save correctly"
Story,"E9-3 Performance pass CPU GPU GC on Switch",E9-3,,E9,8,"Sprint 6","E6-1|E5-1",Tech Lead,"Profiling and optimization across key scenes.","Meets frame-time and memory budgets"
Story,"E9-4 Full regression matrix and bug triage burn-down",E9-4,,E9,8,"Sprint 6",E9-3,QA,"Execute full QA plan and close release blockers.","Zero open P0/P1 defects at code freeze"
Story,"E9-5 Certification checklist and Steam package",E9-5,,E9,5,"Sprint 6",E9-4,Producer,"Finalize compliance and store assets for release.","Submission packets complete and approved"
