Issue Type,Summary,Issue ID,Epic Name,Epic Link,Story Points,Sprint,Depends On,Assignee Role,Description,Acceptance Criteria
Story,"E3-4 Batting AI timing and risk profiles",E3-4,,E3,8,"Sprint 3","E2-1|E1-4",Gameplay Engineer,"AI decides safe vs aggressive swings by match context.","AI completes innings without illegal actions"
Story,"E3-5 Terrain bounce friction tags and wind zones",E3-5,,E3,5,"Sprint 2",E1-1,Tech Artist,"Implement environment modifiers for bounce and drift.","Different surfaces produce distinct rebound signatures"
Story,"E4-1 In-match HUD runs outs innings attempts wind",E4-1,,E4,5,"Sprint 2",E2-1,UI/UX,"Create readable gameplay HUD for all key match info.","HUD updates in real time without lag"
Story,"E4-2 Distance preview ribbon projected runs",E4-2,,E4,3,"Sprint 2",E2-5,UI/UX,"Show live/instant estimate of landing distance and runs.","Preview error within defined tolerance band"
Story,"E4-3 Tutorial with ghost replay prompts",E4-3,,E4,8,"Sprint 3","E1-4|E2-1",UI/UX + Gameplay,"Step-by-step onboarding with ghost timing overlays.","New players clear tutorial in under 8 minutes"
Story,"E4-4 Replay director slow-mo telemetry overlay",E4-4,,E4,8,"Sprint 3",E2-5,Tech Lead,"Cinematic replay system for best hits and outs.","Replay triggers and timeline controls function reliably"
Story,"E5-1 Village field kit day evening variants",E5-1,,E5,8,"Sprint 2",,3D Artist,"Build stylized rural field environment variants.","Field meets art bible and performance budgets"
Story,"E5-2 Character roster v1 regional diversity",E5-2,,E5,13,"Sprint 3-4",,3D Artist,"Create initial cast with regional outfit diversity.","Roster approved by cultural review checklist"
Story,"E5-3 Animation integration swing catch celebrate",E5-3,,E5,8,"Sprint 3-4",E5-2,Animator,"Retarget and integrate core gameplay animations.","Animation transitions are clean with no major foot sliding"
Story,"E6-1 Quick Match productization 5v5 one innings",E6-1,,E6,3,"Sprint 3","E2-7|E4-1",Tech Lead,"Finalize quick match flow from menu to result.","Quick match playable end-to-end with no blockers"
